arepo_stars feature/arepo_stars
automate-tests test/automate-tests
binaries feature/binaries
binary-interactions feature/binary-interactions
binary-yields-edwin feature/binary-yields (CHECK!)
bubble test/bubble
bugfix-solidAngle bugfix/solidAngle
bugfix/vel-after-merger bugfix/vel-after-merger
cleanup-repository refactor/cleanup-repository
develop develop
documentation docs/documentation
elements-eric archive/elements-abandoned
flash-simple archive/flash-simple
fuv-field-martijn archive/fuv-field
hotfix/refactor-cleanup bugfix/refactor-cleanup
improve-relinking-added-files-bad-links build/improve-relinking-added-files-bad-links
issue-75-hdf5-detection bugfix/issue-75-hdf5-detection
jets archive/jets-abandoned
jets-andre archive/jets-andre
jets-mordecai archive/jets-mordecai
jets-raul archive/jets-raul
jets-sabrina feature/jets-sabrina
macOS-issue bugfix/macOS-issue
main main
new-elements-eric feature/elements
petar-dt bugfix/petar-dt
rundir_cleanup refactor/rundir_cleanup
stars-ang-momentum bugfix/stars-ang-momentum
unit-tests test/unit-tests
update-utils tools/update-utils
vettam feature/vettam
vorch-loc-ref bugfix/vorch-loc-ref
website docs/website
worker-swap archive/worker-swap
